COLNAME	TYPENAME	LENGTH
CNPJFORN	VARCHAR	14
CODIGOFORNECEDOR	VARCHAR	50
CODIGOINTERNOFORN	VARCHAR	10
CODIGOINTERNOFORN	VARCHAR	60
CODIGOINTERNOFORNEMB	VARCHAR	60
CODMARCA	VARCHAR	11
CODMARCA	VARCHAR	11
CODMARCA	VARCHAR	9
CODMARCA	VARCHAR	11
DESCRFORNECEDOR	VARCHAR	70
DESCRICAOMARCA	VARCHAR	40
DESCRMARCA	VARCHAR	50
DS_FORNECEDOR	VARCHAR	200
DSCHAVEFORNECEDOR	VARCHAR	200
FABRICANTE	VARCHAR	40
FG_BLOQUEIOFORNECEDOR	INTEGER	4
FLAGATUALIZADADOSFORNECEDOR	CHARACTER	1
FLAGCOTACAOFORNECEDOR	CHARACTER	1
FLAGCUSTOREPOSFORNECEDOR	CHARACTER	1
FLAGFORNECEDORPADRAO	CHARACTER	1
FLAGGERPRECOLISTAFORN	CHARACTER	1
FLAGIMPORTAPRECOPROMOFORN	CHARACTER	1
FLAGMARCAPRO	CHARACTER	1
FLAGPEDIDOATUALISTAFORNEC	CHARACTER	1
FLAGPESQUISAPRODUTOFORNECEDOR	CHARACTER	1
FLAGPRODUTOMARCAFABRICANTE	CHARACTER	1
FLAGRELATORIOFORNO	CHARACTER	1
ID_FORNECEDOR	INTEGER	4
ID_FORNECEDOR	INTEGER	4
ID_FORNECEDOR_SERVICO	INTEGER	4
IDABFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDACORDOFORNECEDOR	INTEGER	4
IDCLIFORFORNECEDOR	INTEGER	4
IDCLIFORNOVOTITULO	INTEGER	4
IDCOLUNADESCRMARCA	INTEGER	4
IDCTAREEMFORN	INTEGER	4
IDEMPRESAFORNECEDORA	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDOR	INTEGER	4
IDFORNECEDORCD	INTEGER	4
IDFORNECEDORPADRAO	INTEGER	4
IDFORNECEDORPEDIDO	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCA	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARCAFABRICANTE	INTEGER	4
IDMARGEMMARCAEMP	INTEGER	4
IDPRODFORNECEDOREMBALAGEM	INTEGER	4
IDSOLICITACAOFORNECEDOR	INTEGER	4
MARCA	VARCHAR	40
MARCA	VARCHAR	40
MARCA	VARCHAR	20
MARCA	VARCHAR	40
MARCA	VARCHAR	20
MARCA	INTEGER	4
MARCA	VARCHAR	100
MARCAFABRICANTE	VARCHAR	40
MARCAFABRICANTE	VARCHAR	40
MARCAVOLUME	VARCHAR	20
MARCAVOLUME	VARCHAR	20
MARCAVOLUME	VARCHAR	20
MARCAVOLUME	VARCHAR	20
MINHORASENTREGAPRODUCAOFORNO	INTEGER	4
MINHORASENTREGAPRODUCAOFORNO	INTEGER	4
MINHORASENTREGAPRODUCAOFORNO	SMALLINT	2
NOMEFORNECEDOR	VARCHAR	255
OBSFORNECEDOR	LONG VARCHAR	32700
PATHVIDEOFORNCEDOR	VARCHAR	100
SALDOESTOQUEFORNECEDORA	DECIMAL	15
SCHEMARCACAUTH	VARCHAR	1
TIPOMARCA	CHARACTER	1
TIPOMARCA	CHARACTER	1
VAL_EXPL_MARCA	DECIMAL	15
VALLISTAFORNECEDOR	DECIMAL	15
VALLISTAFORNECEDOR	VARCHAR	20
VALORUNITFORNECEDOR	DECIMAL	15
